School Name,Index,has_search_index
Crane Independent School District,2491,True
Cranfills Gap ISD,1866,False
Crawford ISD,2983,True
Creek Valley Public Schools,438,True
Creighton Public Schools,436,True
Crescent Public Schools,2691,True
Crestwood School District,1521,False
Creswell School District,1558,False
Crete City Council,77,False
Crete Public Schools,439,True
Crete-Monee Board of Education,1408,False
Crockett County Consolidated Common School District,857,False
Crockett Independent School District,891,False
Crofton Community Schools,croftonschools,False
Cromwell-Wright School,1822,False
Crook County School District,1863,True
Crosby ISD,1018,False
Crosby-Ironton ISD #182,1067,False
Crosbyton CISD,972,False
Cross County Community Schools,145,False
Cross Plains ISD,2668,True
Cross Roads Independent School District,2096,False
Crosslake Community Schools,978,False
Crowell ISD,655,True
Crutcho Public Schools,Crutcho,False
Crystal City Independent School District,1587,True
Cuero Independent School District,718,False
Culberson County - Allamoore ISD,2249,False
Cumberland County Schools,536,True
Cumby ISD,2114,False
Cunningham - West Kingman County USD 332,2709,True
Cushing Public Schools,2496,True
Cypress-Fairbanks ISD,668,False
D.C. Everest Area School District,1315,False
Daingerfield-Lone Star ISD,986,False
Dakota Community Unit District 201,1495,False
Dale Public Schools,2686,True
Dalhart ISD,1129,False
Dallas School District,2353,True
Damon Independent School District,1945,False
Danbury Independent School District,944,False
Danville CCSD 118,1734,False
Darien Public Schools District #61,2826,False
Darion Test,1366,True
Darlington Community School District,1581,True
Darrouzett ISD,1916,False
David City Public Schools,96,False
Davis Public Schools,355,True
Davis School District,914,True
Dawson-Boyd Public Schools,2573,True
Dayton Independent School District,639,True
Decatur ISD,648,True
Deer Creek Public Schools,2818,True
Deer River Schools ISD 317,2476,True
Deerfield Public School District 109,1747,True
DeKalb ISD,892,False
Del Valle ISD,675,False
Delano Public Schools,1338,False
Dell City Independent School District,1300,False
Delta College,1632,False
Demo - Harper College,3209,True
Demo - Litchfield Community District 12,2625,True
Denison ISD,774,False
Denison Public Schools,1393,False
Denton ISD,949,True
Denver City Independent School District,1942,False
Derby Public Schools,2426,True
DeSoto Independent School District,947,False
Detroit ISD,1724,False
Detroit Lakes Public Schools,2364,True
Devers ISD,745,True
Devine ISD,955,False
Dew ISD,1865,False
Deweyville ISD,746,False
DeWitt Public Schools,1616,False
D'Hanis Independent School District,990,False
Diamond Lake School District 76,1733,False
Diboll ISD,2232,False
Dickinson Independent School District,2257,False
Dickinson-Iron Intermediate School District,1100,False
Dickson County Schools,2999,False
Diller-Odell Public Schools,181,False
Dilley Independent School District,852,False
Dillingham City School District,1775,False
Dime Box ISD,773,True
Divide ISD,2485,True
Dixon Public Schools #170,1258,False
Document Only Test #2,1382,True
Document Only Test School,1143,True
Dolores County School District RE-2J,3192,True
Dolton School District 149,2571,True
Doniphan-Trumbull Public School,153,False
Donna Independent School District,1299,False
Dorchester Public Schools,121,False
Doss CCSD,1354,False
Douglas County School District,1502,False
Douglas County West Community School,114,True
Douglas Education Service District,1551,False
Douglas School District 51-1,douglas,True
Douglass ISD,2252,False
DRIPPING SPRINGS INDEPENDENT SCHOOL DISTRICT,634,True
Driscoll ISD,1438,False
Drumright Public Schools,2614,True
Dublin Independent School District,865,False
Duchesne County School District,1429,False
Duluth Public Schools,963,True
Dumas Independent School District,1196,False
Duncan Public Schools,600,False
Duncanville ISD,858,False
Dundee Community Schools,1093,False
Dundy County Stratton Schools,177,False
Dunlap School District 323,1250,False
DuPage Area Occupational Education System,1727,False
DuPage High School District 88,1320,False
Dupo CUSD 196,1741,False
Durand Area Schools,1097,False
Eagle Mountain-Saginaw ISD,1017,False
Eagle Pass ISD,2009,False
Eagle Point School District 9,1542,False
Early ISD,2033,False
East Aurora School District 131,1665,True
East Butler Public Schools,158,False
East Chambers ISD,715,False
East China School District,2609,True
East Grand Forks Public Schools,1524,False
East Lansing Public Schools,1629,True
East Mississippi Community College,2651,True
East Moline School District 37,1688,False
East Mountain High School,2279,False
Eastern Carver County Schools,1159,False
Eastern Oklahoma County Technology Center,3186,True
Eastern Upper Peninsula Intermediate School District,2786,True
Eastpointe Community Schools,1944,False
Eaton RESA,1639,False
ECHO Joint Agreement,1749,False
Ector County Independent School District,1406,True
Ector ISD,2492,True
Edcouch-Elsa ISD,1455,False
Eddyville Charter School,2821,True
Eden Valley-Watkins Schools,1816,False
Edgewood ISD-Bexar County,844,True
Edgewood ISD-Van Zandt County,1298,True
Edina Public Schools,2636,True
Edinburg Community Unit School District #4,1750,False
Edinburg Consolidated Independent School District,1044,False
Edna ISD,1614,False
Education Service Center Region 13,1949,False
"Education Service Center, Region 20",1988,True
Effingham Community Schools,1670,False
El Campo Independent School District,901,True
Elba Public Schools,441,True
Electra Independent School District,2552,True
