LEA_NAME,LEAID,STATENAME,query_url
Pine Hill Schools,5900108,BUREAU OF INDIAN EDUCATION,https://go.boarddocs.com/ca/julian/Board.nsf/Public
VALLEY VIEW ISD,4843800,TEXAS,https://go.boarddocs.com/pa/vlyv/Board.nsf/Public
Excel Academy Charter (District),2500075,MASSACHUSETTS,https://go.boarddocs.com/co/cde/Board.nsf/Public
Mt Desert CSD,2308500,MAINE,https://go.boarddocs.com/me/sport/Board.nsf/Public
KIPP West Philadelphia CS,4200888,PENNSYLVANIA,https://go.boarddocs.com/la/ebrp/Board.nsf/Public
East Side Charter School,1000006,DELAWARE,https://go.boarddocs.com/ca/sccoe/Board.nsf/Public
Charleston CUSD 1,1709600,ILLINOIS,https://go.boarddocs.com/sc/charleston/Board.nsf/Public
Windham Southeast Supervisory Union,5099948,VERMONT,https://go.boarddocs.com/fl/hendry/Board.nsf/Public
Hudson,2506390,MASSACHUSETTS,https://go.boarddocs.com/ny/hfcsd/Board.nsf/Public
Salem Academy Charter (District),2500084,MASSACHUSETTS,https://go.boarddocs.com/pa/gree/Board.nsf/Public
Atlantic County Vocational School District,3400990,NEW JERSEY,https://go.boarddocs.com/nj/hamiltonschools/Board.nsf/Public
CA Montessori Project-Shingle Springs Campus DIST,601976,CALIFORNIA,https://go.boarddocs.com/ca/cottonwood/Board.nsf/Public
Alliance Judy Ivie Burton Technology Academy High District,601934,CALIFORNIA,https://go.boarddocs.com/ca/cerritos/Board.nsf/Public
Keams Canyon Elementary School,5900175,BUREAU OF INDIAN EDUCATION,https://go.boarddocs.com/az/cedarusd/Board.nsf/Public
Whitman-Hanson,2512930,MASSACHUSETTS,https://go.boarddocs.com/ma/arps/Board.nsf/Public
Hillman Community Schools,2618360,MICHIGAN,https://go.boarddocs.com/mi/hillma/Board.nsf/Public
Mill Falls Charter School,3303280,NEW HAMPSHIRE,https://go.boarddocs.com/wi/kasd/Board.nsf/Public
Eastport Public Schools,2305360,MAINE,https://go.boarddocs.com/ny/esm/Board.nsf/Public
Three Rivers Union Elementary,639210,CALIFORNIA,https://go.boarddocs.com/ca/pausd/Board.nsf/Public
