simbli_id,LEAID,LEA_NAME
112020,600020,Pleasanton Unified
112025,5900128,Shonto Preparatory School
136000,,
136001,600040,Riverdale Joint Unified
136002,600040,Riverdale Joint Unified
136005,,
136100,600013,Rocklin Unified
140003,600013,Rocklin Unified
150001,1925980,Sheldon Comm School District
150010,1926820,Southeast Polk Comm School District
150015,633600,Roseville City Elementary
150020,633600,Roseville City Elementary
150025,1930930,West Des Moines Comm School District
150030,1918780,Mason City Comm School District
150035,632070,Redlands Unified
150040,633690,Round Valley Joint Elementary
150045,632160,Reed Union Elementary
150050,633720,Round Valley Unified
150055,621450,Richland Union Elementary
150060,632880,Ripon Unified
150065,633840,Sacramento City Unified
150070,600061,Riverbank Unified
150075,600061,Riverbank Unified
150080,634140,San Benito High
150085,633390,Romoland Elementary
150090,633390,Romoland Elementary
150095,633660,Ross Elementary
150100,633660,Ross Elementary
150105,1922110,Ottumwa Comm School District
150110,633900,Salida Union Elementary
150115,633900,Salida Union Elementary
150120,1999013,AEA 13 Green Hills AEA
150125,1926370,Sioux Center Comm School District
150130,1917250,Lisbon Comm School District
150140,1917250,Lisbon Comm School District
150145,1903540,Ames Comm School District
170000,3680920,ULSTER BOCES
170001,3680920,ULSTER BOCES
170002,3625020,ROSCOE CENTRAL SCHOOL DISTRICT
170004,3607230,CHEEKTOWAGA CENTRAL SCHOOL DISTRICT
170005,3622530,PAWLING CENTRAL SCHOOL DISTRICT
170006,3624960,RONDOUT VALLEY CENTRAL SCHOOL DISTRICT
170009,3606390,CANASTOTA CENTRAL SCHOOL DISTRICT
170010,3600023,SULLIVAN WEST CENTRAL SCHOOL DISTRICT
170011,3614400,HIGHLAND CENTRAL SCHOOL DISTRICT
170012,3617580,LIVINGSTON MANOR CENTRAL SCHOOL DISTRICT
180001,2200125,Central Community School District
190001,,
190002,,
190003,635910,Saratoga Union Elementary
190005,635910,Saratoga Union Elementary
190007,636270,Selma Unified
200015,100270,Baldwin County
220201,636970,Snowline Joint Unified
230000,636970,Snowline Joint Unified
240000,635850,Santa Ynez Valley Union High
260000,635850,Santa Ynez Valley Union High
6302000,502960,BENTON SCHOOL DISTRICT
9000000,,
36030000,503690,BRYANT SCHOOL DISTRICT
36030001,637560,South Whittier Elementary
36030056,2909090,CLARKSBURG C-2
36030057,101620,Gadsden City
36030109,101440,Fairfield City
36030126,3609240,DOWNSVILLE CENTRAL SCHOOL DISTRICT
36030143,2902880,ADVANCE R-IV
36030144,637950,Stanislaus Union Elementary
36030146,637950,Stanislaus Union Elementary
36030149,101800,Huntsville City
36030150,103210,Tallapoosa County
36030152,638280,Summerville Union High
36030153,600021,Sunol Glen Unified
36030155,636600,Shasta Union High
36030157,638670,Sylvan Union Elementary
36030158,611460,Downey Unified
36030181,636670,Shoreline Unified
36030182,638880,Tehachapi Unified
36030185,620070,Konocti Unified
36030186,600028,Temecula Valley Unified
36030187,639630,Travis Unified
36030189,622050,Live Oak Unified
36030190,637620,Southern Kern Unified
36030191,626040,Mt. Shasta Union Elementary
36030192,637350,South Bay Union Elementary
36030193,637050,Soledad Unified
36030195,600160,Yosemite Unified
